t,x,y,z
0.856,3.680581324,5.709320127,15.64276401
0.858,3.721547037,5.78944172,15.60200194
0.86,3.763299616,5.870726022,15.56253344
0.862,3.805846642,5.953187144,15.5243831
0.864,3.849195825,6.036839024,15.48757626
0.866,3.893354998,6.121695406,15.45213902
0.868,3.938332106,6.207769816,15.41809827
0.87,3.984135207,6.295075538,15.3854817
0.872,4.030772453,6.38362559,15.35431783
0.874,4.078252095,6.473432693,15.324636
0.876,4.126582466,6.564509253,15.29646641
0.878,4.175771979,6.656867323,15.26984014
0.88,4.225829115,6.750518583,15.24478915
0.882,4.276762412,6.845474295,15.22134631
0.884,4.328580459,6.941745276,15.19954541
0.886,4.381291884,7.039341863,15.17942117
0.888,4.434905344,7.138273879,15.16100927
0.89,4.489429515,7.238550589,15.14434638
0.892,4.544873078,7.340180663,15.12947013
0.894,4.601244707,7.44317213,15.11641917
0.896,4.658553054,7.547532336,15.10523314
0.898,4.716806742,7.653267899,15.09595272
0.9,4.776014345,7.760384661,15.08861965
0.902,4.836184377,7.868887636,15.0832767
0.904,4.89732527,7.978780957,15.07996771
0.906,4.959445365,8.090067819,15.0787376
0.908,5.022552888,8.202750429,15.07963234
0.91,5.086655939,8.31682994,15.08269903
0.912,5.151762468,8.432306393,15.08798584
0.914,5.217880258,8.549178652,15.09554206
0.916,5.2850169,8.667444337,15.10541806
0.918,5.353179777,8.787099754,15.11766529
0.92,5.422376039,8.908139826,15.13233634
0.922,5.492612578,9.030558016,15.14948488
0.924,5.563896008,9.154346248,15.16916567
0.926,5.636232634,9.279494839,15.19143455
0.928,5.709628428,9.405992407,15.2163484
0.93,5.784088999,9.533825789,15.24396518
0.932,5.85961957,9.662979951,15.27434389
0.934,5.93622494,9.793437901,15.30754452
0.936,6.013909458,9.925180594,15.34362808
0.938,6.092676989,10.05818686,15.3826565
0.94,6.172530879,10.19243327,15.42469263
0.942,6.253473921,10.32789405,15.46980023
0.944,6.335508318,10.46454101,15.51804391
0.946,6.418635647,10.60234338,15.56948907
0.948,6.502856817,10.74126775,15.62420182
0.95,6.588172032,10.88127797,15.68224898
0.952,6.674580748,11.02233503,15.74369796
0.954,6.762081627,11.16439689,15.80861676
0.956,6.850672496,11.30741845,15.87707381
0.958,6.940350299,11.45135138,15.94913796
0.96,7.031111056,11.5961441,16.0248783
0.962,7.122949808,11.74174156,16.10436413
0.964,7.215860567,11.88808515,16.18766485
0.966,7.309836266,12.03511259,16.27484982
0.968,7.404868704,12.18275782,16.36598826
0.97,7.500948508,12.33095094,16.46114906
0.972,7.598065062,12.47961805,16.56040071
0.974,7.696206455,12.62868114,16.66381109
0.976,7.795359423,12.77805793,16.77144736
